Node_ID,Node_Name,Parent_Node,Level,Category,Type,Status
KER001,State of Kerala,NULL,L1,Root,Government,P
GOV001,Governor of Kerala,State of Kerala,L2,Constitutional Authority,Office,D
LEG001,Kerala Legislative Assembly,State of Kerala,L2,Legislature,Institution,P
JUD001,Kerala High Court,State of Kerala,L2,Judiciary,Institution,P
EXEC001,State Executive System,State of Kerala,L2,Executive,System,P
ELEC001,State Election Commission,State of Kerala,L2,Electoral System,Constitutional Body,P
OVS001,Oversight & Accountability System,State of Kerala,L2,Oversight,System,P
REG001,Policy & Regulatory System,State of Kerala,L2,Regulatory,System,P
DEV001,Development & Planning System,State of Kerala,L2,Planning,System,P
ECO001,Economic Implementation System,State of Kerala,L2,Economic,System,P
LSGI001,Local Self Government Institutions,State of Kerala,L2,Local Governance,System,P
PSC001,Public Service Commission,Oversight & Accountability System,L3,Oversight,Commission,P
LOK001,Lokayukta,Oversight & Accountability System,L3,Oversight,Institution,P
HRC001,Human Rights Commission,Oversight & Accountability System,L3,Oversight,Commission,P
REG002,Regulatory Bodies,Policy & Regulatory System,L3,Regulatory,Body,P
COM001,Commissions,Policy & Regulatory System,L3,Regulatory,Institution,P
AUT001,Autonomous Institutions,Development & Planning System,L3,Development,Institution,P
PLAN001,State Planning Board,Development & Planning System,L3,Planning,Board,P
PSU001,Public Sector Undertakings,Economic Implementat
<truncated 45283 bytes>
ce & Asset Management Division,L6,Public Works,Unit,P
PWD402,Public Infrastructure Asset Management Unit,Maintenance & Asset Management Division,L6,Public Works,Unit,P
PWD403,Infrastructure Lifecycle Management Unit,Maintenance & Asset Management Division,L6,Public Works,Unit,P
PWD501,Project Planning Unit,Project Planning & Design Division,L6,Public Works,Unit,P
PWD502,Engineering Design Unit,Project Planning & Design Division,L6,Public Works,Unit,P
PWD503,Technical Feasibility Assessment Unit,Project Planning & Design Division,L6,Public Works,Unit,P
PWD601,Construction Quality Assurance Unit,Quality Control & Technical Standards Division,L6,Public Works,Unit,P
PWD602,Materials Testing Unit,Quality Control & Technical Standards Division,L6,Public Works,Unit,P
PWD603,Engineering Standards Compliance Unit,Quality Control & Technical Standards Division,L6,Public Works,Unit,P
PWD701,Traffic Engineering Unit,Traffic Engineering & Road Safety Division,L6,Public Works,Unit,P
PWD702,Road Safety Management Unit,Traffic Engineering & Road Safety Division,L6,Public Works,Unit,P
PWD703,Traffic Impact Assessment Unit,Traffic Engineering & Road Safety Division,L6,Public Works,Unit,P
PWD801,Contract Administration Unit,Contracts & Procurement Division,L6,Public Works,Unit,P
PWD802,Procurement Management Unit,Contracts & Procurement Division,L6,Public Works,Unit,P
PWD803,Tender Evaluation & Compliance Unit,Contracts & Procurement Division,L6,Public Works,Unit,P
HLT100,Public Health Division,Health & Family Welfare Department,L6,Health,Division,P
HLT200,Medical Services Division,Health & Family Welfare Department,L6,Health,Division,P
HLT300,Disease Prevention & Control Division,Health & Family Welfare Department,L6,Health,Division,P
HLT400,Family Welfare Division,Hea
<truncated 13021 bytes>

NOTE: The output was truncated because it was too long. Use a more targeted query or a smaller range to get the information you need.
